분위기,"X,Y,Max,Point",파일명
행복,"626,187,18,30",1.jpg
행복,"508,320,14,40",2.jpg
혐오,"297,118,14,40",3.jpg
혐오,"405,30,14,28",4.jpg
혐오,"303,121,14,40",5.jpg.
혐오,"44,397,3,28",6.jpg
혐오,"120,46,9,28",7.jpg
혐오,"352,28,9,28",8.jpg
혐오,"1170,200,15,40",9.jpg
혐오,"92,59,10,20",10.jpg
혐오,"1170,608,8,50",11.jpg
행복,"104,75,7,20",12.jpg
행복,"351,180,11,20",13.jpg
행복,"320,80,11,20",14.jpg
행복,"375,358,8,20",15.jpg
행복,"378,51,6,20",16.jpg
혐오,"1379,178,8,50",17.jpg
행복,"728,197,7,20",18.jpg
행복,"526,152,10,40",19.jpg
행복,"297,304,6,30",20.jpg
행복,"801,75,10,40",21.jpg
행복,"437,31,6,40",22.jpg
행복,"407,53,10,20",23.jpg
혐오,"216,23,7,19",24.jpg
혐오,"93,35,9,19",25.jpg
혐오,"173,16,11,19",26.jpg
혐오,"819,52,17,30",27.jpg
혐오,"175,91,12,30",28.jpg
혐오,"171,73,11,30",29.jpg
행복,"170,40,12,30",30.jpg
혐오,"687,90,13,29",31.jpg
행복,"218,46,16,29",32.jpg
행복,"419,94,4,30",33.jpg
혐오,"235,398,6,30",34.jpg
행복,"480,31,7,30",35.jpg
혐오,"211,18,14,30",36.jpg
행복,"233,190,8,30",37.jpg
행복,"95,200,9,30",38.jpg
혐오,"99,48,4,30",39.jpg
행복,"457,7,10,30",40.jpg
분노,"304,285,24,20",41.jpg
분노,"85,65,6,20",42.jpg
분노,"55,45,5,20",43.jpg
분노,"45,56,4,20",44.jpg
슬픔,"280,40,11,20",45.jpg
분노,"55,45,4,20",46.jpg
분노,"300,200,10,35",47.jpg
슬픔,"310,360,6,35",48.jpg
슬픔,"122,25,12,18",49.jpg
분노,"510,80,6,35",50.jpg
슬픔,"210,505,7,40",51.jpg
슬픔,"290,70,4,18",52.jpg
분노,"240,55,7,18",53.jpg
슬픔,"122,25,7,18",54.jpg
슬픔,"255,40,5,18",55.jpg
슬픔,"105,230,9,20",56.jpg
분노,"60,60,4,24",57.jpg
분노,"200,278,7,30",58.jpg
분노,"70,35,5,24",59.jpg
슬픔,"135,115,6,20",60.jpg
분노,"335,110,6,20",61.jpg
분노,"200,50,20,20",62.jpg
슬픔,"210,56,14,26",63.jpg
분노,"95,80,9,13",64.jpg
분노,"400,100,6,40",65.jpg
슬픔,"300,45,10,20",66.jpg
분노,"440,200,5,50",67.jpg
분노,"115,62,6,20",68.jpg
분노,"253,105,4,18",69.jpg
분노,"348,90,5,18",70.jpg
분노,"160,35,6,20",71.jpg
슬픔,"336,85,7,22",72.jpg
슬픔,"425,125,4,22",73.jpg
분노,"130,225,4,25",74.jpg
슬픔,"125,55,8,20",75.jpg
슬픔,"250,80,16,25",76.jpg
슬픔,"270,25,20,25",77.jpg
슬픔,"75,62,6,17",78.jpg
슬픔,"50,108,4,20",79.jpg
슬픔,"120,200,4,28",80.jpg
슬픔,"130,30,13,17",81.jpg
공포,"300,240,10,20",82.jpg
놀람,"330,60,9,20",83.jpg
공포,"330,100,11,20",84.jpg
공포,"330,150,7,30",85.jpg
놀람,"100,100,7,22",86.jpg
놀람,"160,110,10,20",87.jpg
놀람,"285,130,10,20",88.jpg
놀람,"155,585,5,35",89.jpg
놀람,"205,110,8,35",90.jpg
공포,"220,80,8,20",91.jpg
공포,"290,200,7,35",92.jpg
공포,"180,70,7,35",93.jpg
공포,"310,90,8,20",94.jpg
놀람,"110,90,6,35",95.jpg
놀람,"460,130,6,40",96.jpg
놀람,"53,93,5,20",97.jpg
공포,"65,130,4,30",98.jpg
놀람,"140,110,7,30",99.jpg
공포,"430,80,14,40",100.jpg
공포,"200,350,9,20",101.jpg
공포,"180,110,6,43",102.jpg
놀람,"340,80,5,20",103.jpg
공포,"255,50,3,30",104.jpg
공포,"55,130,5,20",105.jpg
공포,"265,100,5,30",106.jpg
공포,"420,280,4,28",107.jpg
공포,"115,80,11,20",108.jpg
공포,"90,110,5,33",109.jpg
공포,"55,90,4,25",110.jpg
놀람,"80,50,6,25",111.jpg
놀람,"310,135,9,30",112.jpg
놀람,"215,60,14,30",113.jpg
공포,"400,40,7,25",114.jpg
공포,"125,30,10,7",115.jpg
놀람,"118,65,11,20",116.jpg
놀람,"57,70,3,20",117.jpg
공포,"80,60,7,20",118.jpg
공포,"110,180,5,35",119.jpg
공포,"670,360,7,35",120.jpg
공포,"300,210,8,50",121.jpg
놀람,"300,210,8,50",121.jpg
분노,"300,210,8,50",121.jpg
혐오,"300,210,8,50",121.jpg
놀람,"300,240,10,20",82.jpg
놀람,"330,100,11,20",84.jpg
놀람,"330,150,7,30",85.jpg
놀람,"220,80,8,20",91.jpg
놀람,"180,70,7,35",93.jpg
놀람,"310,90,8,20",94.jpg
놀람,"65,130,4,30",98.jpg
놀람,"430,80,14,40",100.jpg
놀람,"180,110,6,43",102.jpg
놀람,"255,50,3,30",104.jpg
놀람,"55,130,5,20",105.jpg
놀람,"265,100,5,30",106.jpg
놀람,"420,280,4,28",107.jpg
놀람,"90,110,5,33",109.jpg
놀람,"55,90,4,25",110.jpg
놀람,"400,40,7,25",114.jpg
놀람,"110,180,5,35",119.jpg
